event,team,points,starter_double_digits,starter_zeroes
31,Amorim de mi vida,28,0,4
34,Bowen Arrows,28,1,4
36,*Saka It To Me Baby,28,0,1
9,Into the WOODwork*,27,0,1
20,*Saka It To Me Baby,27,0,2
6,Santa’s reijnders,26,1,1
10,ChabosSpurs@Law,26,0,0
20,Into the WOODwork*,26,0,1
22,Amorim de mi vida,26,0,0
26,Into the WOODwork*,26,0,1
20,Amorim de mi vida,25,0,0
24,Into the WOODwork*,25,0,0
27,Sue-nited FC*,25,0,1
2,Into the WOODwork*,24,0,1
13,Amorim de mi vida,24,0,1
20,eze as u like b*%chs,24,0,3
29,ChabosSpurs@Law,24,0,0
30,*Saka It To Me Baby,24,0,1
31,Into the WOODwork*,24,0,4
33,eze as u like b*%chs,24,0,1
3,*Saka It To Me Baby,23,0,0
9,Bowen Arrows,23,0,3
17,Grand-Larseny,23,0,1
19,Grand-Larseny,23,1,3
26,Santa’s reijnders,23,0,0
28,*Saka It To Me Baby,23,0,1
31,Bowen Arrows,23,0,1
5,Amorim de mi vida,22,0,1
8,Amorim de mi vida,22,0,0
14,Sue-nited FC*,22,0,3
16,eze as u like b*%chs,22,0,1
32,ChabosSpurs@Law,22,0,0
37,Bowen Arrows,22,0,0
5,Into the WOODwork*,21,0,0
35,Into the WOODwork*,21,0,0
2,**Cunha Believe it?!,20,0,1
5,*Saka It To Me Baby,20,0,1
6,ChabosSpurs@Law,20,0,0
17,Amorim de mi vida,20,0,1
16,Amorim de mi vida,19,0,0
6,Grand-Larseny,18,0,1
34,Amorim de mi vida,18,0,4
34,ChabosSpurs@Law,18,0,2
18,Grand-Larseny,16,0,1
